feature,score,normalized_score,importance,normalized_importance,combined_score
x115,217.0332424151678,0.79279383736232,0.26458220227157314,1.0,0.89639691868116
x458,273.757479166655,1.0,0.020691578750063253,0.0782047264419734,0.5391023632209867
x415,255.92523315753735,0.9348611549777534,0.03636480306137733,0.13744236289957126,0.5361517589386623
x159,272.3238727548401,0.9947632246754357,0.014171700609885644,0.053562561987217455,0.5241628933313266
x485,265.7039125549376,0.9705813823379975,0.0062153081112307175,0.023491028715722853,0.4970362055268602
x133,257.4509735045827,0.9404344834277736,0.006831363155705764,0.025819435687869506,0.48312695955782153
x194,251.93993092921937,0.9203033710572934,0.007450721237390564,0.028160326633546482,0.47423184884541997
x334,239.3341395534698,0.87425607615188,0.013881959821247658,0.052467474010209125,0.46336177508104454
x465,228.79901375268642,0.8357726497525232,0.0189564140306679,0.0716465955303018,0.4537096226414125
x702,238.84006158076258,0.872451274419298,0.0030327112744740576,0.011462264840328203,0.4419567696298131
x507,228.20273701796535,0.8335945294084282,0.012748973505460675,0.04818530269989529,0.4408899160541617
x200,198.3963219034745,0.7247156224093407,0.009395981133194729,0.03551252144900692,0.38011407192917385
x654,179.5396815615644,0.6558347998677554,0.003026764764381108,0.011439789745473387,0.3336372948066144
x452,180.98478807535255,0.661113583549528,0.0011963929876833074,0.004521819598641418,0.3328177015740847
x327,171.65820053723468,0.6270447881817852,0.002236432849525456,0.00845269572300986,0.31774874195239755
x712,171.48833893261644,0.6264243061217688,0.0013035069337159252,0.004926661440280765,0.3156754837810248
x362,167.0649623108404,0.6102662941644654,0.004928577719780575,0.018627774950341413,0.3144470345574034
x410,167.55179708140082,0.6120446374339987,0.003704484486749733,0.014001261063460975,0.31302294924872986
x306,168.97683025068386,0.6172500958332395,0.0012059920320004218,0.004558099606271189,0.31090409771975536
x287,165.2556678160855,0.6036571797751067,0.00044508929066937645,0.0016822344316740048,0.30266970710339036
x531,162.33794153852108,0.5929991101346123,0.001914214278059357,0.00723485654599913,0.3001169833403057
x242,138.7940941462253,0.50699653784338,0.01825853830028787,0.06900894369889209,0.288002740771136
x254,154.73637803437617,0.5652316002668095,0.0012742128249452868,0.004815943075556556,0.28502377167118303
x641,141.29945913951644,0.5161483060468194,0.011803586094268539,0.04461216965059907,0.28038023784870925
x748,151.42497761943704,0.5531354908745862,0.0017279305531445633,0.006530789064076866,0.27983313996933157
x23,150.68375717302166,0.5504279102500432,0.0010255580135416272,0.0038761413456260044,0.2771520257978346
x320,144.8379432280412,0.5290739221771852,0.002218915690963584,0.008386488856442578,0.26873020551681387
x612,144.62447525364192,0.5282941517941107,0.0019199628616165252,0.007256583568859374,0.267775367681485
x286,141.91465764779036,0.5183955451364934,0.004426976399852625,0.01673195083359642,0.26756374798504495
x542,144.0974526705906,0.5263690077408573,0.0013069112085263071,0.004939528045748383,0.2656542678933028
x203,141.83686846348917,0.5181113914960596,0.0007880453012425778,0.002978451666350975,0.2605449215812053
x233,139.0855576027435,0.5080612154456338,0.000986258250453909,0.003727606173001732,0.25589441080931774
x172,138.52010477297307,0.5059956907648406,0.0007391226519700441,0.0027935463747156804,0.25439461856977813
x214,136.8234128262154,0.4997978986463474,0.0010803504820277525,0.0040832318755849506,0.25194056526096614
x640,133.22002166567967,0.4866351855343447,0.004385998003069316,0.016577071191536265,0.2516061283629405
x310,134.63427323623827,0.4918012601740723,0.0024426338169459653,0.009232041293687588,0.2505166507338799
x745,136.10110534626762,0.49715940459626135,0.0006981639674486418,0.0026387412360111455,0.24989907291613625
x146,134.51277279268595,0.49135743506316687,0.0017268428470834712,0.00652667803146865,0.24894205654731777
x445,132.90151422745208,0.48547171983033127,0.0012660427855854409,0.004785064054633372,0.24512839194248232
x309,132.2469873023318,0.4830808192159892,0.0017282330934941612,0.00653193252855407,0.24480637587227164
x349,131.15862057444681,0.47910515896663974,0.001712077804855272,0.006470872908896407,0.24278801593776808
x766,127.61774239080366,0.46617079752226226,0.004272432550286059,0.016147845598097857,0.24115932156018005
x817,129.75783275791267,0.4739882656463247,0.0016935830737994822,0.006400971264352658,0.24019461845533868
x319,119.85518445826415,0.43781519622081283,0.0005892327931646321,0.0022270311007534446,0.22002111366078314
x440,117.92365918324106,0.4307595888967578,0.0019625126679527574,0.007417402422020775,0.2190884956593893
x213,115.98090828228912,0.42366297584031876,0.000987857853331542,0.003733651942006221,0.21369831389116248
x484,114.26669439506254,0.41740117838205454,0.001111226871048882,0.004199930537687088,0.2108005544598708
x276,111.63190870341926,0.40777665342053077,0.0006807082407821072,0.0025727665539778555,0.20517470998725432
x546,109.10577339600567,0.3985490139963829,0.00228889696668452,0.008650986147341628,0.20360000007186224
x543,108.28276874213702,0.3955426864382319,0.0005821656728706049,0.0022003206106548955,0.1988715035244434
x325,97.7701681820896,0.35714154177526664,0.006814597875971784,0.025756070580201487,0.19144880617773405
x734,92.03218719080672,0.3361814532737584,0.0013965333715175246,0.005278258928709389,0.1707298561012339
x399,90.73476956253944,0.33144215763070695,0.000671821379371397,0.0025391782727767318,0.16699066795174183
x777,85.98646345941013,0.3140972210920464,0.0001142570261165582,0.0004318394250845422,0.1572645302585655
x496,81.31977632930072,0.2970504279073807,0.001554848186417056,0.005876616692535973,0.15146352229995833
x209,78.51991193389063,0.28682289219243634,0.0034665982798039213,0.01310215974484076,0.14996252596863854
x721,79.15061248403146,0.28912675819843825,0.0013118079846290037,0.004958035625096711,0.1470423969117675
x657,79.86459902996897,0.29173485697298485,0.00019650708641502412,0.0007427071236383647,0.14623878204831162
x801,72.9474592315852,0.26646745671988403,0.0007413639392537097,0.0028020174179847405,0.1346347370689344
x726,71.60317281219524,0.26155695555848346,0.001888184920268575,0.0071364774503256245,0.13434671650440455
x671,71.98735174111057,0.26296031056483726,0.0007210683520190621,0.002725309358786504,0.1328428099618119
x613,67.92210363304189,0.24811049487964137,0.0017203461460885692,0.006502123466047678,0.12730630917284452
x571,68.25256745643905,0.24931763568325752,0.0006620022580659675,0.0025020664745487057,0.12590985107890312
x538,65.83191422367564,0.24047530837906067,0.002449198781968857,0.009256853865986587,0.12486608112252363
x720,66.16376714036231,0.24168752335743082,0.001861773081468908,0.007036652750958441,0.12436208805419463
x594,65.99032020361128,0.24105394455155116,0.0006472120061742276,0.0024461660709510407,0.1217500553112511
x315,64.93739819905116,0.23720775920616693,0.0013171410416383273,0.004978192147204157,0.12109297567668555
x517,63.780123552050135,0.23298038740787347,0.002112903564935296,0.00798581139167692,0.1204830993997752
x681,64.8741689673086,0.2369767911539514,0.00042524621838509506,0.0016072366725128878,0.11929201391323214
x231,64.3290935400176,0.23498570243940642,0.0008264337906849308,0.0031235426403952164,0.11905462253990082
x672,64.57837627579357,0.23589629942669174,0.00030190072808433216,0.0011410469997315028,0.11851867321321162
x232,63.19057768237356,0.23082685402689987,0.0012053182345961296,0.00455555295952584,0.11769120349321285
x711,60.89893118454637,0.22245577132697442,0.003144036019140276,0.011883021579483137,0.11716939645322878
x675,63.50035091102042,0.23195841481416984,0.0006183825973336351,0.002337204059927331,0.11714780943704858
x107,63.26771579590945,0.2311086293916158,0.0006660714432738989,0.002517446137931183,0.11681303776477349
x633,62.413713761998196,0.22798907248850972,0.0006883767217742736,0.0026017499131241947,0.11529541120081696
x29,61.54462297832351,0.22481439837067269,0.0010339317163675843,0.003907790121522737,0.11436109424609771
